Data File	C:\Users\user\Documents\OmniSEC Data\THF\2022-10-20\2022-10-20_23;10;01_TP34_01.vdt
Sample ID	TP34
Method File Name	ps conv-0000.vcm
Date Acquired	Oct 20, 2022 - 23:10:01
Solvent	THF
Operator	admin : Administrator
Column Set	2 x PLGel Mixed-B
System	THF
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	40.000
Col. Temp (Deg C)	40.000

Ret. Vol.	RI	UV	RALS	LALS	IV - DP	IV -  IP	Adjusted RI
1.26667	13.245	 2.960	74.480	47.533	24.171	35.36058	
1.27000	13.215	 2.960	74.496	47.533	24.186	35.35936	
1.27333	13.184	 2.976	74.526	47.533	24.201	35.35752	
1.27667	13.169	 2.960	74.511	47.548	24.216	35.35691	
1.28000	13.199	 2.945	74.480	47.548	24.247	35.35936	
1.28333	13.215	 2.945	74.480	47.563	24.277	35.35997	
1.28667	13.245	 2.945	74.465	47.548	24.293	35.35997	
1.29000	13.245	 2.945	74.435	47.548	24.323	35.35752	
1.29333	13.260	 2.945	74.435	47.548	24.369	35.35630	
1.29667	13.245	 2.976	74.465	47.517	24.384	35.35875	
1.30000	13.245	 2.991	74.450	47.517	24.369	35.35875	
1.30333	13.215	 2.991	74.465	47.517	24.384	35.35569	
